Observer,Date,FireName,FireYear,Transect,Burned,Quadrat,SpeciesCode,PercentCover
DFW,7/22/2021,Dugout,2012,2,N,2,schsco,15
DFW,7/22/2021,Dugout,2012,2,N,3,symocc,15
DFW,7/22/2021,Dugout,2012,2,N,3,linlew,3
DFW,7/22/2021,Dugout,2012,2,N,3,galbor,15
DFW,7/22/2021,Dugout,2012,2,N,3,callon,37.5
DFW,7/22/2021,Dugout,2012,2,N,3,echang,3
DFW,7/22/2021,Dugout,2012,2,N,3,symfal,15
DFW,7/22/2021,Dugout,2012,2,N,3,boucur,15
DFW,7/22/2021,Dugout,2012,2,N,3,symlae,3
DFW,7/22/2021,Dugout,2012,2,N,3,anepat,3
DFW,7/22/2021,Dugout,2012,2,N,3,carfil,15
DFW,7/22/2021,Dugout,2012,2,N,3,poapra,15
DFW,7/22/2021,Dugout,2012,2,N,3,astlot,0.5
DFW,7/22/2021,Dugout,2012,2,N,3,koemac,3
DFW,7/22/2021,Dugout,2012,2,N,3,hesspa,15
DFW,7/22/2021,Dugout,2012,2,N,3,bougra,3
DFW,7/22/2021,Dugout,2012,2,N,4,symocc,15
DFW,7/22/2021,Dugout,2012,2,N,4,galbor,15
DFW,7/22/2021,Dugout,2012,2,N,4,linlew,15
DFW,7/22/2021,Dugout,2012,2,N,4,astlot,3
DFW,7/22/2021,Dugout,2012,2,N,4,symobl,15
DFW,7/22/2021,Dugout,2012,2,N,4,anepat,15
DFW,7/22/2021,Dugout,2012,2,N,4,schsco,15
DFW,7/22/2021,Dugout,2012,2,N,4,boucur,15
DFW,7/22/2021,Dugout,2012,2,N,4,carexsp,15
DFW,7/22/2021,Dugout,2012,2,N,4,callon,15
DFW,7/22/2021,Dugout,2012,2,N,4,poapra,15
DFW,7/22/2021,Dugout,2012,2,N,5,symocc,15
DFW,7/22/2021,Dugout,2012,2,N,5,anepat,3
DFW,7/22/2021,Dugout,2012,2,N,5,callon,15
DFW,7/22/2021,Dugout,2012,2,N,5,symobl,15
DFW,7/22/2021,Dugout,2012,2,N,5,carfil,15
DFW,7/22/2021,Dugout,2012,2,N,5,poapra,62.5
DFW,7/22/2021,Dugout,2012,2,N,5,carexsp,15
DFW,7/22/2021,Dugout,2012,2,N,5,echang,0.5
DFW,7/22/2021,Dugout,2012,2,N,5,linlew,0.5
DFW,7/22/2021,Dugout,2012,2,N,5,astlot,0.5
DFW,7/22/2021,Dugout,2012,2,N,6,cirund,3
DFW,7/22/2021,Dugout,2012,2,N,6,boucur,15
DFW,7/22/2021,Dugout,2012,2,N,6,dalpur,3
DFW,7/22/2021,Dugout,2012,2,N,6,anepat,3
DFW,7/22/2021,Dugout,2012,2,N,6,callon,15
DFW,7/22/2021,Dugout,2012,2,N,6,carexsp,15
DFW,7/22/2021,Dugout,2012,2,N,6,phlhoo,3
DFW,7/22/2021,Dugout,2012,2,N,6,poapra,37.5
DFW,7/22/2021,Dugout,2012,2,N,6,nasvir,15
DFW,7/22/2021,Dugout,2012,2,N,6,hescom,3
DFW,7/22/2021,Dugout,2012,2,N,7,symocc,37.5
DFW,7/22/2021,Dugout,2012,2,N,7,echang,15
DFW,7/22/2021,Dugout,2012,2,N,7,oensuf,3
DFW,7/22/2021,Dugout,2012,2,N,7,artfri,3
DFW,7/22/2021,Dugout,2012,2,N,7,anecyl,3
DFW,7/22/2021,Dugout,2012,2,N,7,linlew,15
DFW,7/22/2021,Dugout,2012,2,N,7,symobl,3
DFW,7/22/2021,Dugout,2012,2,N,7,passmi,3
DFW,7/22/2021,Dugout,2012,2,N,7,poapra,15
DFW,7/22/2021,Dugout,2012,2,N,7,bougra,37.5
DFW,7/22/2021,Dugout,2012,2,N,7,carfil,15
DFW,7/22/2021,Dugout,2012,2,N,7,schsco,0.5
DFW,7/22/2021,Dugout,2012,2,N,7,nasvir,15
DFW,7/22/2021,Dugout,2012,2,N,7,camrot,0.5
DFW,7/22/2021,Dugout,2012,2,N,8,symocc,15
DFW,7/22/2021,Dugout,2012,2,N,8,ratcol,3
DFW,7/22/2021,Dugout,2012,2,N,8,symlae,3
DFW,7/22/2021,Dugout,2012,2,N,8,achmil,3
DFW,7/22/2021,Dugout,2012,2,N,8,echang,0.5
DFW,7/22/2021,Dugout,2012,2,N,8,symobl,3
DFW,7/22/2021,Dugout,2012,2,N,8,nasvir,15
DFW,7/22/2021,Dugout,2012,2,N,8,carfil,15
DFW,7/22/2021,Dugout,2012,2,N,8,poapra,15
DFW,7/22/2021,Dugout,2012,2,N,8,bougra,37.5
DFW,7/22/2021,Dugout,2012,2,N,8,passmi,3
DFW,7/22/2021,Dugout,2012,2,N,8,koemac,3
DFW,7/22/2021,Dugout,2012,2,N,8,solpta,0.5
DFW,7/22/2021,Dugout,2012,2,N,9,tetaca,15
DFW,7/22/2021,Dugout,2012,2,N,9,symocc,15
DFW,7/22/2021,Dugout,2012,2,N,9,echang,3
DFW,7/22/2021,Dugout,2012,2,N,9,ratcol,3
DFW,7/22/2021,Dugout,2012,2,N,9,carfil,37.5
DFW,7/22/2021,Dugout,2012,2,N,9,bougra,37.5
DFW,7/22/2021,Dugout,2012,2,N,9,nasvir,15
DFW,7/22/2021,Dugout,2012,2,N,9,schsco,3
DFW,7/22/2021,Dugout,2012,2,N,9,passmi,3
DFW,7/22/2021,Dugout,2012,2,N,9,koemac,3
DFW,7/22/2021,Dugout,2012,2,N,9,poapra,15
DFW,7/22/2021,Dugout,2012,2,N,9,phlhoo,0.5
DFW,7/22/2021,Dugout,2012,2,N,9,anepat,0.5
DFW,7/22/2021,Dugout,2012,2,N,9,polalb,3
DFW,7/22/2021,Dugout,2012,2,N,9,xanspi,15
DFW,7/22/2021,Dugout,2012,2,N,10,gutsar,15
DFW,7/22/2021,Dugout,2012,2,N,10,anecyl,3
DFW,7/22/2021,Dugout,2012,2,N,10,artfri,3
DFW,7/22/2021,Dugout,2012,2,N,10,ratcol,3
DFW,7/22/2021,Dugout,2012,2,N,10,schsco,3
DFW,7/22/2021,Dugout,2012,2,N,10,passmi,15
DFW,7/22/2021,Dugout,2012,2,N,10,carfil,15
DFW,7/22/2021,Dugout,2012,2,N,10,bougra,62.5
DFW,7/22/2021,Dugout,2012,2,N,10,phlhoo,0.5
DFW,7/22/2021,Dugout,2012,2,N,10,poapra,3
DFW,7/22/2021,Dugout,2012,2,N,10,nasvir,15
DFW,7/22/2021,Dugout,2012,2,N,10,koemac,3
DFW,7/21/2021,Dugout,2012,3,N,1,gutsar,15
DFW,7/21/2021,Dugout,2012,3,N,1,anepat,3
DFW,7/21/2021,Dugout,2012,3,N,1,carfil,15
DFW,7/21/2021,Dugout,2012,3,N,1,passmi,15
DFW,7/21/2021,Dugout,2012,3,N,1,schsco,37.5
DFW,7/21/2021,Dugout,2012,3,N,1,koemac,15
DFW,7/21/2021,Dugout,2012,3,N,1,hescom,3
DFW,7/21/2021,Dugout,2012,3,N,1,linlew,0.5
DFW,7/21/2021,Dugout,2012,3,N,1,bougra,0.5
DFW,7/21/2021,Dugout,2012,3,N,1,ratcol,0.5
DFW,7/21/2021,Dugout,2012,3,N,1,poapra,3
DFW,7/21/2021,Dugout,2012,3,N,1,tetaca,3
NGH,7/21/2021,Dugout,2012,3,N,2,artfri,15
NGH,7/21/2021,Dugout,2012,3,N,2,passmi,3
NGH,7/21/2021,Dugout,2012,3,N,2,schsco,15
NGH,7/21/2021,Dugout,2012,3,N,2,phlhoo,3
NGH,7/21/2021,Dugout,2012,3,N,2,bougra,15
NGH,7/21/2021,Dugout,2012,3,N,2,carfil,62.5
NGH,7/21/2021,Dugout,2012,3,N,2,boeret,0.5
NGH,7/21/2021,Dugout,2012,3,N,2,litinc,0.5
NGH,7/21/2021,Dugout,2012,3,N,3,carfil,37.5
NGH,7/21/2021,Dugout,2012,3,N,3,hescom,15
NGH,7/21/2021,Dugout,2012,3,N,3,schsco,15
NGH,7/21/2021,Dugout,2012,3,N,3,liapun,15
NGH,7/21/2021,Dugout,2012,3,N,3,symfal,0.5
NGH,7/21/2021,Dugout,2012,3,N,3,antpar,15
NGH,7/21/2021,Dugout,2012,3,N,3,linlew,0.5
NGH,7/21/2021,Dugout,2012,3,N,3,solnem,3
NGH,7/21/2021,Dugout,2012,3,N,3,bougra,15
NGH,7/21/2021,Dugout,2012,3,N,3,phlhoo,3
DFW,7/21/2021,Dugout,2012,3,N,4,pedesc,3
DFW,7/21/2021,Dugout,2012,3,N,4,callon,15
DFW,7/21/2021,Dugout,2012,3,N,4,schsco,87.5
DFW,7/21/2021,Dugout,2012,3,N,4,anepat,15
DFW,7/21/2021,Dugout,2012,3,N,4,helpau,3
DFW,7/21/2021,Dugout,2012,3,N,4,carfil,15
DFW,7/21/2021,Dugout,2012,3,N,4,symfal,0.5
DFW,7/21/2021,Dugout,2012,3,N,4,tarery,0.5
NGH,7/21/2021,Dugout,2012,3,N,5,schsco,62.5
NGH,7/21/2021,Dugout,2012,3,N,5,carexsp,3
NGH,7/21/2021,Dugout,2012,3,N,5,callon,3
NGH,7/21/2021,Dugout,2012,3,N,5,anepat,3
NGH,7/21/2021,Dugout,2012,3,N,5,comumb,15
NGH,7/21/2021,Dugout,2012,3,N,5,tetaca,3
NGH,7/21/2021,Dugout,2012,3,N,5,antpar,3
DFW,7/21/2021,Dugout,2012,3,N,6,junhor,87.5
DFW,7/21/2021,Dugout,2012,3,N,6,anepat,3
DFW,7/21/2021,Dugout,2012,3,N,6,solrig,15
DFW,7/21/2021,Dugout,2012,3,N,6,comumb,3
DFW,7/21/2021,Dugout,2012,3,N,6,schsco,37.5
DFW,7/21/2021,Dugout,2012,3,N,6,callon,3
DFW,7/21/2021,Dugout,2012,3,N,6,oensuf,3
DFW,7/21/2021,Dugout,2012,3,N,6,passmi,3
NGH,7/21/2021,Dugout,2012,3,N,7,junhor,15
NGH,7/21/2021,Dugout,2012,3,N,7,schsco,15
NGH,7/21/2021,Dugout,2012,3,N,7,carfil,15
NGH,7/21/2021,Dugout,2012,3,N,7,anepat,15
NGH,7/21/2021,Dugout,2012,3,N,7,koemac,3
NGH,7/21/2021,Dugout,2012,3,N,7,echang,0.5
NGH,7/21/2021,Dugout,2012,3,N,7,solnem,0.5
NGH,7/21/2021,Dugout,2012,3,N,8,junhor,15
NGH,7/21/2021,Dugout,2012,3,N,8,callon,15
NGH,7/21/2021,Dugout,2012,3,N,8,symobl,15
NGH,7/21/2021,Dugout,2012,3,N,8,schsco,15
NGH,7/21/2021,Dugout,2012,3,N,8,koemac,3
NGH,7/21/2021,Dugout,2012,3,N,8,tetaca,3
NGH,7/21/2021,Dugout,2012,3,N,8,carfil,15
NGH,7/21/2021,Dugout,2012,3,N,8,solnem,3
DFW,7/21/2021,Dugout,2012,3,N,9,tetaca,15
DFW,7/21/2021,Dugout,2012,3,N,9,schsco,37.5
DFW,7/21/2021,Dugout,2012,3,N,9,carfil,15
DFW,7/21/2021,Dugout,2012,3,N,9,carexsp,15
DFW,7/21/2021,Dugout,2012,3,N,9,phlhoo,3
DFW,7/21/2021,Dugout,2012,3,N,9,hescom,3
DFW,7/21/2021,Dugout,2012,3,N,9,antpar,0.5
DFW,7/21/2021,Dugout,2012,3,N,9,solpta,3
DFW,7/21/2021,Dugout,2012,3,N,9,symobl,0.5
DFW,7/21/2021,Dugout,2012,3,N,9,koemac,0.5
NGH,7/21/2021,Dugout,2012,3,N,10,symocc,15
NGH,7/21/2021,Dugout,2012,3,N,10,symfal,3
NGH,7/21/2021,Dugout,2012,3,N,10,liapun,3
NGH,7/21/2021,Dugout,2012,3,N,10,echang,15
NGH,7/21/2021,Dugout,2012,3,N,10,phlhoo,3
NGH,7/21/2021,Dugout,2012,3,N,10,schsco,37.5
NGH,7/21/2021,Dugout,2012,3,N,10,carfil,15
NGH,7/21/2021,Dugout,2012,3,N,10,passmi,3
DFW,7/21/2021,Dugout,2012,4,Y,1,callon,15
DFW,7/21/2021,Dugout,2012,4,Y,1,eupvir,3
DFW,7/21/2021,Dugout,2012,4,Y,1,carfil,62.5
DFW,7/21/2021,Dugout,2012,4,Y,1,phlhoo,3
DFW,7/21/2021,Dugout,2012,4,Y,1,aripur,15
DFW,7/21/2021,Dugout,2012,4,Y,1,bougra,3
NGH,7/21/2021,Dugout,2012,4,Y,2,bougra,37.5
NGH,7/21/2021,Dugout,2012,4,Y,2,carfil,15
NGH,7/21/2021,Dugout,2012,4,Y,2,disspi,3
NGH,7/21/2021,Dugout,2012,4,Y,2,passmi,3
NGH,7/21/2021,Dugout,2012,4,Y,3,boucur,15
NGH,7/21/2021,Dugout,2012,4,Y,3,helpau,15
NGH,7/21/2021,Dugout,2012,4,Y,3,disspi,3
NGH,7/21/2021,Dugout,2012,4,Y,3,schsco,15
NGH,7/21/2021,Dugout,2012,4,Y,3,carfil,15
DFW,7/21/2021,Dugout,2012,4,Y,4,rosark,15
DFW,7/21/2021,Dugout,2012,4,Y,4,callon,37.5
DFW,7/21/2021,Dugout,2012,4,Y,4,carfil,37.5
DFW,7/21/2021,Dugout,2012,4,Y,4,phlhoo,3
DFW,7/21/2021,Dugout,2012,4,Y,4,schsco,15
DFW,7/21/2021,Dugout,2012,4,Y,4,koemac,15
DFW,7/21/2021,Dugout,2012,4,Y,4,boucur,3
NGH,7/21/2021,Dugout,2012,4,Y,5,echang,15
NGH,7/21/2021,Dugout,2012,4,Y,5,passmi,37.5
NGH,7/21/2021,Dugout,2012,4,Y,5,eupvir,3
DFW,7/21/2021,Dugout,2012,4,Y,6,artfri,15
DFW,7/21/2021,Dugout,2012,4,Y,6,comumb,3
DFW,7/21/2021,Dugout,2012,4,Y,6,carfil,37.5
DFW,7/21/2021,Dugout,2012,4,Y,6,boucur,15
DFW,7/21/2021,Dugout,2012,4,Y,6,bougra,3
DFW,7/21/2021,Dugout,2012,4,Y,6,symobl,3
DFW,7/21/2021,Dugout,2012,4,Y,6,phlhoo,0.5
NGH,7/21/2021,Dugout,2012,4,Y,7,boucur,15
NGH,7/21/2021,Dugout,2012,4,Y,7,koemac,15
NGH,7/21/2021,Dugout,2012,4,Y,7,symobl,37.5
NGH,7/21/2021,Dugout,2012,4,Y,7,carfil,37.5
NGH,7/21/2021,Dugout,2012,4,Y,7,disspi,3
NGH,7/21/2021,Dugout,2012,4,Y,7,artfri,15
NGH,7/21/2021,Dugout,2012,4,Y,7,schsco,15
DFW,7/21/2021,Dugout,2012,4,Y,8,symobl,3
DFW,7/21/2021,Dugout,2012,4,Y,8,phlhoo,15
DFW,7/21/2021,Dugout,2012,4,Y,8,carfil,15
DFW,7/21/2021,Dugout,2012,4,Y,8,schsco,15
DFW,7/21/2021,Dugout,2012,4,Y,8,rosark,3
DFW,7/21/2021,Dugout,2012,4,Y,8,boucur,15
DFW,7/21/2021,Dugout,2012,4,Y,8,bougra,3
DFW,7/21/2021,Dugout,2012,4,Y,8,koemac,3
DFW,7/21/2021,Dugout,2012,4,Y,8,oensuf,0.5
NGH,7/21/2021,Dugout,2012,4,Y,9,andger,15
NGH,7/21/2021,Dugout,2012,4,Y,9,schsco,62.5
NGH,7/21/2021,Dugout,2012,4,Y,9,symobl,15
DFW,7/21/2021,Dugout,2012,4,Y,10,carfil,87.5
DFW,7/21/2021,Dugout,2012,4,Y,10,artfri,3
DFW,7/21/2021,Dugout,2012,4,Y,10,passmi,15
DFW,7/21/2021,Dugout,2012,4,Y,10,phlhoo,3
DFW,7/21/2021,Dugout,2012,4,Y,10,bougra,3
DFW,7/27/2021,Easter,2012,1,Y,1,passmi,37.5
DFW,7/27/2021,Easter,2012,1,Y,1,bougra,37.5
DFW,7/27/2021,Easter,2012,1,Y,1,carexsp,15
DFW,7/27/2021,Easter,2012,1,Y,1,poapra,15
DFW,7/27/2021,Easter,2012,1,Y,2,passmi,37.5
DFW,7/27/2021,Easter,2012,1,Y,2,carfil,3
DFW,7/27/2021,Easter,2012,1,Y,2,boucur,15
DFW,7/27/2021,Easter,2012,1,Y,2,carexsp,15
DFW,7/27/2021,Easter,2012,1,Y,2,poapra,15
DFW,7/27/2021,Easter,2012,1,Y,2,disspi,3
DFW,7/27/2021,Easter,2012,1,Y,2,hescom,15
DFW,7/27/2021,Easter,2012,1,Y,3,disspi,62.5
DFW,7/27/2021,Easter,2012,1,Y,3,passmi,15
DFW,7/27/2021,Easter,2012,1,Y,3,poapra,15
DFW,7/27/2021,Easter,2012,1,Y,3,carexsp,15
DFW,7/27/2021,Easter,2012,1,Y,4,disspi,15
DFW,7/27/2021,Easter,2012,1,Y,4,passmi,37.5
DFW,7/27/2021,Easter,2012,1,Y,4,poapra,37.5
DFW,7/27/2021,Easter,2012,1,Y,4,carexsp,3
DFW,7/27/2021,Easter,2012,1,Y,5,disspi,37.5
DFW,7/27/2021,Easter,2012,1,Y,5,passmi,15
DFW,7/27/2021,Easter,2012,1,Y,5,bougra,15
DFW,7/27/2021,Easter,2012,1,Y,5,kocsco,0.5
DFW,7/27/2021,Easter,2012,1,Y,5,carexsp,3
DFW,7/27/2021,Easter,2012,1,Y,6,artlud,37.5
DFW,7/27/2021,Easter,2012,1,Y,6,disspi,3
DFW,7/27/2021,Easter,2012,1,Y,6,passmi,15
DFW,7/27/2021,Easter,2012,1,Y,6,poapra,62.5
DFW,7/27/2021,Easter,2012,1,Y,6,broine,3
DFW,7/27/2021,Easter,2012,1,Y,6,achmil,3
DFW,7/27/2021,Easter,2012,1,Y,6,thlarv,0.5
DFW,7/27/2021,Easter,2012,1,Y,7,disspi,37.5
DFW,7/27/2021,Easter,2012,1,Y,7,broine,15
DFW,7/27/2021,Easter,2012,1,Y,7,poapra,37.5
DFW,7/27/2021,Easter,2012,1,Y,7,achmil,0.5
DFW,7/27/2021,Easter,2012,1,Y,8,passmi,15
DFW,7/27/2021,Easter,2012,1,Y,8,poapra,87.5
DFW,7/27/2021,Easter,2012,1,Y,8,disspi,3
DFW,7/27/2021,Easter,2012,1,Y,8,bougra,3
DFW,7/27/2021,Easter,2012,1,Y,9,passmi,37.5
DFW,7/27/2021,Easter,2012,1,Y,9,disspi,3
DFW,7/27/2021,Easter,2012,1,Y,9,poapra,62.5
DFW,7/27/2021,Easter,2012,1,Y,10,achmil,3
DFW,7/27/2021,Easter,2012,1,Y,10,disspi,3
DFW,7/27/2021,Easter,2012,1,Y,10,passmi,15
DFW,7/27/2021,Easter,2012,1,Y,10,poapra,87.5
DFW,7/27/2021,Easter,2012,1,Y,10,bougra,3
DFW,7/27/2021,Easter,2012,1,Y,10,hescom,3
NGH,7/27/2021,Easter,2012,2,Y,1,passmi,37.5
NGH,7/27/2021,Easter,2012,2,Y,1,poapra,62.5
NGH,7/27/2021,Easter,2012,2,Y,2,agrcri,37.5
NGH,7/27/2021,Easter,2012,2,Y,2,passmi,15
NGH,7/27/2021,Easter,2012,2,Y,2,nasvir,15
NGH,7/27/2021,Easter,2012,2,Y,2,disspi,15
NGH,7/27/2021,Easter,2012,2,Y,2,achmil,3
NGH,7/27/2021,Easter,2012,2,Y,2,artfri,3
NGH,7/27/2021,Easter,2012,2,Y,3,artfri,15
NGH,7/27/2021,Easter,2012,2,Y,3,passmi,37.5
NGH,7/27/2021,Easter,2012,2,Y,3,hescom,62.5
NGH,7/27/2021,Easter,2012,2,Y,3,koemac,15
NGH,7/27/2021,Easter,2012,2,Y,3,bougra,3
NGH,7/27/2021,Easter,2012,2,Y,4,artfri,3
NGH,7/27/2021,Easter,2012,2,Y,4,hescom,15
NGH,7/27/2021,Easter,2012,2,Y,4,passmi,37.5
NGH,7/27/2021,Easter,2012,2,Y,4,bougra,15
NGH,7/27/2021,Easter,2012,2,Y,4,koemac,15
NGH,7/27/2021,Easter,2012,2,Y,4,achmil,15
NGH,7/27/2021,Easter,2012,2,Y,5,passmi,37.5
NGH,7/27/2021,Easter,2012,2,Y,5,carfil,37.5
NGH,7/27/2021,Easter,2012,2,Y,5,boucur,3
NGH,7/27/2021,Easter,2012,2,Y,5,poapra,15
NGH,7/27/2021,Easter,2012,2,Y,5,aripur,3
NGH,7/27/2021,Easter,2012,2,Y,6,koemac,15
NGH,7/27/2021,Easter,2012,2,Y,6,broine,15
NGH,7/27/2021,Easter,2012,2,Y,6,passmi,37.5
NGH,7/27/2021,Easter,2012,2,Y,6,bougra,37.5
NGH,7/27/2021,Easter,2012,2,Y,7,artfri,15
NGH,7/27/2021,Easter,2012,2,Y,7,passmi,37.5
NGH,7/27/2021,Easter,2012,2,Y,7,agrcri,15
NGH,7/27/2021,Easter,2012,2,Y,7,bougra,37.5
NGH,7/27/2021,Easter,2012,2,Y,7,koemac,3
NGH,7/27/2021,Easter,2012,2,Y,7,aripur,15
NGH,7/27/2021,Easter,2012,2,Y,8,achmil,15
NGH,7/27/2021,Easter,2012,2,Y,8,passmi,37.5
NGH,7/27/2021,Easter,2012,2,Y,8,poapra,62.5
NGH,7/27/2021,Easter,2012,2,Y,9,passmi,37.5
NGH,7/27/2021,Easter,2012,2,Y,9,poapra,62.5
NGH,7/27/2021,Easter,2012,2,Y,9,nasvir,15
NGH,7/27/2021,Easter,2012,2,Y,10,achmil,15
NGH,7/27/2021,Easter,2012,2,Y,10,passmi,37.5
NGH,7/27/2021,Easter,2012,2,Y,10,bougra,37.5
NGH,7/27/2021,Easter,2012,2,Y,10,koemac,15
NGH,7/27/2021,Easter,2012,2,Y,10,poapra,15
